id,year,zip_code,city,state,climate,building_class,facility_type,floor_area,year_built,energy_star_rating,leed_score,electric_eui,fuel_eui,site_eui,source_eui,ghg_emissions_int
119,2015,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,67743,1923,43,,18.6843178,15.34401975,34.02833755,74.77997863,2.761397983
119,2016,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,67743,1923,34,,19.70515019,19.29616136,39.00131156,82.13514104,2.741607262
119,2017,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,67743,1923,15,,23.47254725,28.22953258,51.70207983,103.3448076,3.525505576
119,2018,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,67743,1923,19,,24.53872022,26.17676274,50.71548296,104.5371824,3.48953723
119,2019,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,67743,1923,26,,21.72917437,27.83400193,49.5631763,97.45530956,3.557108033
119,2020,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,67743,1923,79,,13.14256083,,25.30168134,54.03471755,1.700648157
119,2021,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,67743,1923,42,,16.70313122,29.15518947,,,2.966226775
12,2015,98104,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,163984,1904,46,,44.85328938,32.22626273,77.07955211,174.6769045,6.384492191
12,2016,98104,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,163984,1904,43,,44.38455237,39.09799777,83.48255014,180.4203921,5.943465018
12,2017,98104,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,163984,1904,44,,44.54501033,46.00399705,90.54900738,188.1755293,6.288573769
12,2018,98104,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,163984,1904,64,,39.63875298,52.47482212,92.1135751,179.5642476,6.178126766
12,2019,98104,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,163984,1904,69,,38.36561982,48.94752034,87.31314016,171.8629426,6.269833517
12,2020,98104,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,163984,1904,92,,28.71566943,32.54633299,61.26200242,124.3408516,4.033376277
12,2021,98104,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,163984,1904,82,,34.5972527,40.27527076,74.87252346,150.9244078,5.075702553
120,2015,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,161514,1908,100,,11.11718775,25.35526833,36.47245608,61.53100128,2.505327584
120,2016,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,161514,1908,100,,11.65726642,26.74760748,38.4048739,64.68880441,2.436221568
120,2017,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,161514,1908,98,,14.8037109,30.71282229,45.5165332,78.73211564,2.909101767
120,2018,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,161514,1908,91,,13.322037,31.28933096,44.61136796,74.68499368,2.801148557
120,2020,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,161514,1908,79,,14.4966831,25.47517942,39.97186251,72.26852331,2.5165516
120,2021,98112,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,161514,1908,90,,15.87489928,32.16544696,48.04034623,83.62090303,3.055799592
121,2015,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,63681,2003,71,,69.74851151,0,69.74851151,219.0103261,7.265894987
121,2016,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,63681,2003,63,,76.70792878,0,76.70792878,240.8628964,6.683117341
121,2017,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,63681,2003,63,,78.19701735,0,78.19701735,245.5386345,6.750251841
121,2018,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,63681,2003,53,,80.53874662,0,80.53874662,252.8916644,6.890416433
121,2019,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,63681,2003,51,,82.86294328,0,82.86294328,260.1896419,7.926742853
121,2020,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,63681,2003,29,,69.24394516,0,69.24394516,217.4259878,5.55781058
121,2021,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,63681,2003,22,,77.00540013,0,77.00540013,241.7969564,6.536369968
122,2015,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,60725,1991,71,,35.42613831,0,35.42613831,111.2380743,3.690477239
122,2016,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,60725,1991,,,38.5430501,0,38.5430501,121.0251773,3.35803812
122,2017,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,60725,1991,77,,36.76918131,0,36.76918131,115.4552293,3.17405847
122,2018,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,60725,1991,47,,33.95243394,0,33.95243394,106.6106426,2.904742373
122,2019,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,60725,1991,47,,34.00422974,0,34.00422974,106.7732814,3.252771092
122,2020,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,60725,1991,53,,30.86978619,0,30.86978619,96.93112862,2.477739012
122,2021,98144,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,60725,1991,40,,36.7642422,0,36.7642422,115.4397205,3.120621258
125,2015,98108,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,130862,1957,65,,16.44612343,28.2919516,44.73807503,81.34737674,3.215902659
125,2016,98108,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,130862,1957,61,,17.24478703,31.98278686,49.22757389,87.73055747,3.201045166
